country.homeland.ABY,ETHIOPIA
owo.doctrine.military.t5.condottieri_contracts,Condottieri Contracts
owo.doctrine.military.t5.condottieri_contracts.desc,Mercenary captains sell whole companies by contract, ready to march wherever the gold is good.
owo.doctrine.military.milestone,Military Revolution
owo.doctrine.military.milestone.desc,Gunpowder, drill and permanent companies have remade how your realm wages war.
owo.doctrine.economy.t1,Royal Finances
owo.doctrine.economy.t1.question,How does the crown fill its coffers?
owo.doctrine.economy.t1.tax_farming,Tax Farming
owo.doctrine.economy.t1.tax_farming.desc,Collectors buy the right to gather taxes in advance: quick coin for the crown, hard times for the peasantry.
owo.doctrine.economy.t2,Guilds and Markets
owo.doctrine.economy.t2.question,Who controls trade in your towns?
owo.doctrine.economy.t2.chartered_craft_guilds,Chartered Craft Guilds
owo.doctrine.economy.t2.chartered_craft_guilds.desc,Royal charters grant guilds control over quality, prices and apprentices in every workshop.
owo.doctrine.economy.t2.free_fairs,Free Fairs and Market Towns
owo.doctrine.economy.t2.free_fairs.desc,Toll-free seasonal fairs draw merchants from distant lands to your market towns.
owo.doctrine.economy.t3,Long-Distance Trade
owo.doctrine.economy.t3.question,Where does your wealth travel?
owo.doctrine.economy.t3.caravanserai_network,Caravanserai Network
owo.doctrine.economy.t3.caravanserai_network.desc,Fortified inns a day's ride apart keep the silk and spice caravans moving safely overland.
owo.doctrine.economy.t4,Granaries and Coinage
owo.doctrine.economy.t4.question,How do you weather famine and debasement?
owo.doctrine.economy.t4.royal_granaries,Royal Granaries
owo.doctrine.economy.t4.royal_granaries.desc,Crown granaries buy grain in good harvests and open their doors in lean years.
owo.doctrine.economy.t4.sound_coinage,Sound Coinage
owo.doctrine.economy.t4.sound_coinage.desc,A trusted mint refuses to clip or debase the coin, and lenders reward the crown's good name.
owo.doctrine.economy.t5,Mercantile Power
owo.doctrine.economy.t5.question,What kind of economic power will you be?
owo.doctrine.economy.t5.trading_post_empire,Trading-Post Empire
owo.doctrine.economy.t5.trading_post_empire.desc,Fortified factories on distant coasts funnel spices, gold and sugar into the royal treasury.
owo.doctrine.economy.t5.agrarian_crown_estates,Agrarian Crown Estates
owo.doctrine.economy.t5.agrarian_crown_estates.desc,Drained marshes, new villages and crown estates make the land itself the source of the realm's wealth.
owo.doctrine.economy.milestone,Commercial Revolution
owo.doctrine.economy.milestone.desc,Banking, bills of exchange and long-distance trade have made your realm's wealth work for it.
owo.goal.basic_fill_the_treasury,Fill the Royal Treasury
owo.goal.basic_fill_the_treasury.desc,A realm without coin cannot raise armies or keep the peace. Build a reserve worth defending.
owo.task.basic_fill_the_treasury.treasury,Hold 500 fl. in the treasury
owo.goal.basic_first_alliance,Seek a Trusted Ally
owo.goal.basic_first_alliance.desc,No crown stands alone for long. Win the friendship of a neighbour.
owo.task.basic_first_alliance.relations,Reach good relations with another realm
owo.goal.ott_heir_of_rome,Heir of Rome
owo.goal.ott_heir_of_rome.desc,Take Constantinople and claim the mantle of the Caesars.
owo.task.ott_heir_of_rome.war,Declare war on the Byzantine Empire
owo.task.ott_heir_of_rome.army,Muster 20,000 soldiers
owo.goal.ott_anatolian_unity,Anatolian Unity
owo.goal.ott_anatolian_unity.desc,Bring Karaman and the other beyliks under the Sultan's authority.
owo.task.ott_anatolian_unity.karaman,Declare war on the Karamanids
owo.task.ott_anatolian_unity.candar,Reach good relations with the Candarids
owo.goal.fra_end_hundred_years_war,End the Hundred Years' War
owo.goal.fra_end_hundred_years_war.desc,Drive the English crown from Normandy and Guyenne for good.
owo.task.fra_end_hundred_years_war.war,Declare war on England
owo.task.fra_end_hundred_years_war.army,Muster 15,000 soldiers
owo.goal.fra_contain_burgundy,Contain Burgundy
owo.goal.fra_contain_burgundy.desc,Keep the Grand Dukes of the West from carving a kingdom out of France's borderlands.
owo.task.fra_contain_burgundy.scotland,Renew the Auld Alliance with Scotland
owo.goal.cas_reconquista,Complete the Reconquista
owo.goal.cas_reconquista.desc,Bring down the Emirate of Granada, the last Muslim realm in Iberia.
owo.task.cas_reconquista.war,Declare war on Granada
owo.goal.cas_union_with_aragon,Union of the Crowns
owo.goal.cas_union_with_aragon.desc,Bind Castile and Aragon together into one Spanish monarchy.
owo.task.cas_union_with_aragon.alliance,Ally with the Crown of Aragon
owo.goal.ott_danubian_frontier,Fortify the Danubian March
owo.goal.ott_danubian_frontier.desc,Secure the fortress line along the Danube river against Hungarian and crusader counter-offensives.
owo.task.ott_danubian_frontier.army,Muster 25,000 soldiers
owo.task.ott_danubian_frontier.treasury,Hold 800 fl. in the treasury
owo.goal.fra_compagnies_ordonnance,Compagnies d'Ordonnance
owo.goal.fra_compagnies_ordonnance.desc,Institutionalize France's first professional standing army financed by a permanent royal tax.
owo.task.fra_compagnies_ordonnance.standing_army,Muster 15,000 professional soldiers
owo.task.fra_compagnies_ordonnance.treasury,Hold 600 fl. in the royal treasury
owo.goal.eng_fortress_calais,Fortress Calais & the Narrow Seas
owo.goal.eng_fortress_calais.desc,Strengthen the fortifications of the Calais Pale and maintain naval mastery over the English Channel.
owo.task.eng_fortress_calais.fleet,Muster a fleet of 10 warships
owo.task.eng_fortress_calais.treasury,Hold 600 fl. in the exchequer
owo.goal.eng_scottish_border,Guard the Northern Marches
owo.goal.eng_scottish_border.desc,Secure the Scottish Border Marches and neutralize the threat of a northern Auld Alliance invasion.
owo.task.eng_scottish_border.scotland,Pacify Scotland through diplomacy
owo.goal.eng_royal_solvency,Restore Royal Solvency
owo.goal.eng_royal_solvency.desc,Reorganize the exchequer, manage war debts, and restore parliamentary confidence in the Crown.
owo.task.eng_royal_solvency.treasury,Accumulate 1,200 fl. in the royal treasury
owo.goal.cas_western_seas,Chart the Ocean Sea
owo.goal.cas_western_seas.desc,Sponsor intrepid navigators to seek a westward sea route across the Atlantic.
owo.task.cas_western_seas.fleet,Build a naval exploration squadron of 10 ships
owo.task.cas_western_seas.treasury,Fund expeditions with 1,000 fl. in treasury
owo.goal.prt_chart_african_coast,Chart the African Coast
owo.goal.prt_chart_african_coast.desc,Push maritime caravels southward past Guinea to map the southern extremity of the African continent.
owo.task.prt_chart_african_coast.navigation_tech,Advance navigational knowledge by researching 2 doctrine tiers
owo.task.prt_chart_african_coast.caravels,Muster a caravel fleet of 8 ships
owo.goal.prt_spice_monopoly,Maritime Spice Monopoly
owo.goal.prt_spice_monopoly.desc,Establish armed feitorias along the Indian Ocean to secure the exclusive maritime spice trade.
owo.task.prt_spice_monopoly.fleet,Muster a merchant fleet of 15 ships
owo.task.prt_spice_monopoly.treasury,Amass 2,000 fl. in commercial reserves
owo.goal.myn_tumu_crisis_recovery,Overcome the Tumu Crisis
owo.goal.myn_tumu_crisis_recovery.desc,Rally the imperial court under Minister Yu Qian, fortify Beijing, and repel the Oirat Mongol invaders.
owo.task.myn_tumu_crisis_recovery.army,Mobilize 50,000 imperial troops
owo.task.myn_tumu_crisis_recovery.treasury,Hold 1,000 fl. in the imperial treasury
owo.goal.myn_rebuild_great_wall,Stone Walls of the Ming Frontier
owo.goal.myn_rebuild_great_wall.desc,Construct contiguous stone and brick watchtowers along the northern frontier passes to ensure enduring peace.
owo.task.myn_rebuild_great_wall.frontier_army,Garrison the northern marches with 30,000 soldiers
owo.task.myn_rebuild_great_wall.treasury,Dedicate 2,500 fl. to frontier defenses
owo.goal.myn_grand_canal,Dredge the Grand Canal
owo.goal.myn_grand_canal.desc,Reconstruct and dredge the 1,700-kilometer Grand Canal to guarantee continuous grain shipments from the Yangtze to the capital.
owo.task.myn_grand_canal.treasury,Invest 2,000 fl. in Grand Canal restoration
owo.doctrine.government.t1,Feudal Oaths & Bailiffs
owo.doctrine.government.t1.question,How is authority exercised across the realm?
owo.doctrine.government.t1.feudal_oaths,Feudal Oaths & Vassalage
owo.doctrine.government.t1.feudal_oaths.desc,Personal fealty and vassal contracts form the bedrock of the realm's military and civil order.
owo.doctrine.government.t1.centralized_bailiffs,Crown Bailiffs & Sheriffs
owo.doctrine.government.t1.centralized_bailiffs.desc,Direct royal officers enforce the sovereign's peace and collect crown dues across the provinces.
owo.doctrine.government.t2,Councils & Assemblies
owo.doctrine.government.t2.question,Who counsels the crown on law and taxation?
owo.doctrine.government.t2.privy_council,Privy Council of Magnates
owo.doctrine.government.t2.privy_council.desc,A select council of trusted lords and prelates guides statecraft with speed and discretion.
owo.doctrine.government.t2.chartered_parliaments,Estates & Parliaments
owo.doctrine.government.t2.chartered_parliaments.desc,Regular consultative assemblies of nobility, clergy, and burghers negotiate subsidies and redress grievances.
owo.doctrine.government.t3,Codified Justice & Records
owo.doctrine.government.t3.question,How are disputes settled and statutes recorded?
owo.doctrine.government.t3.codified_customary_law,Codified Customary Law
owo.doctrine.government.t3.codified_customary_law.desc,Recording local customs and royal decrees into authoritative statute rolls reduces arbitrary injustice.
owo.doctrine.government.t3.chancery_clerks,Royal Chancery
owo.doctrine.government.t3.chancery_clerks.desc,A dedicated administrative secretariat drafts charters, letters patent, and tax assessments with professional rigor.
owo.doctrine.government.t4,Sovereign Ordinances
owo.doctrine.government.t4.question,How far does royal decree reach?
owo.doctrine.government.t4.royal_ordinances,Royal Ordinances & Edicts
owo.doctrine.government.t4.royal_ordinances.desc,Binding sovereign edicts supersede regional feudal customs, establishing uniform royal jurisprudence.
owo.doctrine.government.t4.provincial_intendants,Provincial Intendants
owo.doctrine.government.t4.provincial_intendants.desc,Crown commissioners oversee local courts, tax collection, and civic order with full delegated authority.
owo.doctrine.government.t5,Sovereign Statehood
owo.doctrine.government.t5.question,What is the ultimate source of crown authority?
owo.doctrine.government.t5.divine_right_monarchy,Divine Right Monarchy
owo.doctrine.government.t5.divine_right_monarchy.desc,The crown's mandate is held directly from Providence, elevating the sovereign above all temporal faction.
owo.doctrine.government.t5.bureaucratic_centralism,Bureaucratic Centralism
owo.doctrine.government.t5.bureaucratic_centralism.desc,A permanent ministerial administration enforces royal policy from the capital across all crown lands.
owo.doctrine.government.milestone,Centralized Monarchy
owo.doctrine.government.milestone.desc,From disparate feudal claims, an enduring, institutional crown governance has been forged.
owo.doctrine.society.t1,Agrarian Commons
owo.doctrine.society.t1.question,How is land and labour organized in the countryside?
owo.doctrine.society.t1.communal_commons,Communal Grazing & Open Fields
owo.doctrine.society.t1.communal_commons.desc,Village open-field rotations and shared pasture sustain communal harmony and peasant livelihoods.
owo.doctrine.society.t1.manorial_estates,Manorial Estate Demesnes
owo.doctrine.society.t1.manorial_estates.desc,Concentrated noble demesnes maximize surplus grain and corvée duties for the crown's war chest.
owo.doctrine.society.t2,Guilds & Peasant Status
owo.doctrine.society.t2.question,What rights do urban artisans and rural workers hold?
owo.doctrine.society.t2.guild_charters,Chartered Trade Guilds
owo.doctrine.society.t2.guild_charters.desc,Exclusive craft charters regulate manufacturing standards, apprenticeship, and civic stability.
owo.doctrine.society.t2.free_peasantry,Emancipation of Serfs
owo.doctrine.society.t2.free_peasantry.desc,Commuting feudal bondages into monetary rents encourages peasant enterprise and population growth.
owo.doctrine.society.t3,Civic Institutions & Learning
owo.doctrine.society.t3.question,Who tends the sick and educates the learned?
owo.doctrine.society.t3.monastic_hospitals,Monastic Infirmaries & Alms
owo.doctrine.society.t3.monastic_hospitals.desc,Religious orders maintain hospital networks and charitable relief, shielding populations from disease and famine.
owo.doctrine.society.t3.cathedral_schools,Cathedral Schools & Universities
owo.doctrine.society.t3.cathedral_schools.desc,Scholastic faculties train jurists, theologians, and medical doctors to serve the realm.
owo.doctrine.society.t4,Civic Order & Patronage
owo.doctrine.society.t4.question,How do towns withstand crisis and display prosperity?
owo.doctrine.society.t4.civic_relief_funds,Town Relief Granaries
owo.doctrine.society.t4.civic_relief_funds.desc,Municipal grain reserves and emergency charity mitigate popular unrest during lean harvests.
owo.doctrine.society.t4.burgher_patronage,Burgher Civic Patronage
owo.doctrine.society.t4.burgher_patronage.desc,Wealthy merchant patricians endow public monuments, guildhalls, and hospitals to display civic renown.
owo.doctrine.society.t5,Renaissance Flourishing
owo.doctrine.society.t5.question,What culture defines the spirit of your people?
owo.doctrine.society.t5.humanist_renaissance,Humanist Renaissance
owo.doctrine.society.t5.humanist_renaissance.desc,Classical revival, vernacular literature, and natural philosophy ignite an unprecedented era of innovation.
owo.doctrine.society.t5.estate_harmony,Concord of Estates
owo.doctrine.society.t5.estate_harmony.desc,Balance among the nobility, clergy, and commons establishes deep social peace and enduring legitimacy.
owo.doctrine.society.milestone,Renaissance Society
owo.doctrine.society.milestone.desc,Your society has transitioned from dark insularity into a flourishing, cultured realm.
owo.doctrine.diplomacy.t1,Heralds & Dynastic Ties
owo.doctrine.diplomacy.t1.question,How do you initiate contact with foreign courts?
owo.doctrine.diplomacy.t1.royal_heralds,Royal Heralds & Couriers
owo.doctrine.diplomacy.t1.royal_heralds.desc,Inviolable royal heralds deliver solemn proclamations, safe conducts, and treaty terms across borders.
owo.doctrine.diplomacy.t1.dynastic_marriages,Dynastic Royal Marriages
owo.doctrine.diplomacy.t1.dynastic_marriages.desc,Strategic marital alliances bind princely houses together, cementing fragile peace with royal blood.
owo.doctrine.diplomacy.t2,Embassies & Subsidies
owo.doctrine.diplomacy.t2.question,How do you maintain continuous relations abroad?
owo.doctrine.diplomacy.t2.resident_ambassadors,Permanent Resident Embassies
owo.doctrine.diplomacy.t2.resident_ambassadors.desc,Stationing permanent diplomatic missions at key capitals ensures constant negotiation and intelligence.
owo.doctrine.diplomacy.t2.tribute_and_subsidies,Diplomatic Subsidies & Tribute
owo.doctrine.diplomacy.t2.tribute_and_subsidies.desc,Annual gold pensions keep buffer princes loyal and buy neutrality during major conflicts.
owo.doctrine.diplomacy.t3,Alliances & Commerce
owo.doctrine.diplomacy.t3.question,How do you protect your borders and sea lanes?
owo.doctrine.diplomacy.t3.defensive_leagues,Mutual Defensive Leagues
owo.doctrine.diplomacy.t3.defensive_leagues.desc,Formal collective defense treaties deter aggressive neighbours from attacking allied territories.
