country.homeland.ABY,HABEŞİSTAN
country.homeland.LUB,LUBA KRALLIĞI
country.homeland.LUS,KRALLIK
country.homeland.LXG,KRALLIK
country.homeland.MAD,MADAGASKAR
country.homeland.MAJ,İMPARATORLUK
country.homeland.MAL,İMPARATORLUK
country.homeland.MAM,SALTANAT
country.homeland.MAP,MAPUÇE TOPRAKLARI
country.homeland.MAY,KONFEDERASYON
country.homeland.MEW,KRALLIK
country.homeland.MGD,SULTANLIK
country.homeland.MGL,HANLIK
country.homeland.MID,DİYAR
country.homeland.MIL,DÜKALIK
country.homeland.MLC,SALTANAT
country.homeland.MLD,SULTANLIK
country.homeland.MLW,SULTANLIK
country.homeland.MOG,HANLIK
country.homeland.MOL,PRENSLİK
country.homeland.MOR,SALTANAT
country.homeland.MOS,MOSSİ KRALLIKLARI
country.homeland.MRC,NİPPON
country.homeland.MUI,MUİSKA KONFEDERASYONU
country.homeland.MVY,ANAVATANIMIZ
country.homeland.MYN,ORTA ÜLKE
country.homeland.NAP,ANAVATAN
country.homeland.NAV,KRALLIK
country.homeland.NBH,UMMAN KRALLIĞI
country.homeland.NEP,KRALLIK
country.homeland.NVD,CUMHURİYET
country.homeland.ORI,KRALLIK
country.homeland.OTT,SALTANAT
country.homeland.OYO,OYO İMPARATORLUĞU
country.homeland.PAL,KONT PALATİNLİĞİ
country.homeland.PAP,KUTSAL MAKAM
country.homeland.PEG,KRALLIK
country.homeland.POL,ANAVATAN
country.homeland.PRT,KRALLIK
country.homeland.PSI,SULTANLIK
country.homeland.PSK,CUMHURİYET
country.homeland.PUE,PUEBLO TOPRAKLARI
country.homeland.RAM,BEYLİK
country.homeland.RYA,KNEZLİK
country.homeland.RYU,ADALAR
country.homeland.SAV,DÜKALIK
country.homeland.SAX,SEÇMENLİK
country.homeland.SCT,ANAVATAN
country.homeland.SHV,ŞİRVANŞAHLAR
country.homeland.SIB,HANLIK
country.homeland.SND,SULTANLIK
country.homeland.SON,İMPARATORLUK
country.homeland.SRB,ANAVATAN
country.homeland.STE,ORDA
country.homeland.SUL,SULTANLIK
country.homeland.SWD,ANAVATAN
country.homeland.TAH,YEMEN SULTANLIĞI
country.homeland.TAI,TAİNO TOPRAKLARI
country.homeland.TAR,TARASKAN DEVLETİ
country.homeland.TEU,DÜZEN
country.homeland.TIB,YAYLA
country.homeland.TIM,ÜLKE
country.homeland.TLX,TLAXCALA KONFEDERASYONU
country.homeland.TND,KRALLIK
country.homeland.TRE,İMPARATORLUK
country.homeland.TVR,KNEZLİK
country.homeland.UZB,ÖZBEK HANLIĞI
country.homeland.VIJ,BHARAT
country.homeland.VNC,LA SERENISSIMA
country.homeland.WAL,PRENSLİK
country.homeland.WUR,KONTLUK
country.homeland.ZAP,ZAPOTEK KRALLIĞI
country.homeland.ZAY,TİLİMSAN KRALLIĞI
country.homeland.ZIM,KRALLIK
country.name.ABY,Habeş İmparatorluğu
country.name.ADA,Adal Sultanlığı
country.name.AKK,Akkoyunlular
country.name.ARA,Aragon Krallığı
country.name.ARK,Mrauk U Krallığı
country.name.AVA,Ava Krallığı
country.name.AYU,Ayutthaya Krallığı
country.name.AZT,Aztek İmparatorluğu
country.name.BAH,Bahmani Sultanlığı
country.name.BAV,Bavyera Dükalığı
country.name.BNG,Bengal Sultanlığı
country.name.BNK,Benin Krallığı
country.name.BOH,Bohemya Krallığı
country.name.BOS,Bosna Krallığı
country.name.BRG,Brandenburg Markgraflığı
country.name.BRU,Bruney Sultanlığı
country.name.BUG,Buganda Krallığı
country.name.BUR,Burgonya Dükalığı
country.name.BYZ,Bizans İmparatorluğu
country.name.CAH,Misisipi Şeflikleri (Cahokia)
country.name.CAS,Kastilya Krallığı
country.name.CEB,Cebu Racalığı
country.name.CHE,İsviçre Konfederasyonu
country.name.CHM,Chimor Krallığı
country.name.CND,Candaroğulları
country.name.COL,Köln Prens-Başpiskoposluğu
country.name.CPA,Çampa Krallığı
country.name.DAN,Danimarka Krallığı
country.name.DEL,Delhi Sultanlığı
country.name.DUL,Dulkadiroğulları
country.name.DVT,Dai Viet
country.name.ENG,İngiltere Krallığı
country.name.FLR,Floransa Cumhuriyeti
country.name.FNJ,Func Sennar Sultanlığı
country.name.FRA,Fransa Krallığı
country.name.GEN,Cenova Cumhuriyeti
country.name.GRG,Gürcistan Krallığı
country.name.GRN,Gırnata Emirliği
country.name.GUJ,Gücerat Sultanlığı
country.name.HAB,Avusturya Arşidükalığı
country.name.HAU,Hausa Şehir Devletleri
country.name.HFS,Hafsi Sultanlığı
country.name.HRM,Hürmüz Krallığı
country.name.HUN,Macar Krallığı
country.name.INC,İnka İmparatorluğu
country.name.IRO,Haudenosaunee Konfederasyonu
country.name.JBR,Cebri Emirliği
country.name.JNP,Jaunpur Sultanlığı
country.name.JOS,Joseon Hanedanlığı
country.name.KAR,Karamanoğulları
country.name.KBR,Kanem-Bornu İmparatorluğu
country.name.KKY,Karakoyunlular
country.name.KLW,Kilwa Sultanlığı (Svahili Sahili)
country.name.KMR,Khmer Krallığı
country.name.KNG,Kongo Krallığı
country.name.KNI,Hospitalier Şövalyeleri
country.name.KOT,Kotte Krallığı
country.name.KRM,Kırım Hanlığı
country.name.KSH,Keşmir Sultanlığı
country.name.KZN,Kazan Hanlığı
country.name.LEZ,Leş Birliği
country.name.LIV,Livonya Konfederasyonu
country.name.LNA,Lan Na Krallığı
country.name.LTH,Litvanya Büyük Dükalığı
country.name.LUB,Luba Krallığı
country.name.LUS,Kıbrıs Krallığı
country.name.LXG,Lan Xang Krallığı
country.name.MAD,Madagaskar Şeflikleri
country.name.MAJ,Majapahit İmparatorluğu
country.name.MAL,Mali İmparatorluğu
country.name.MAM,Memlük Sultanlığı
country.name.MAP,Mapuçe Halkları
country.name.MAY,Maya Konfederasyonu
country.name.MEW,Mewar Krallığı
country.name.MGD,Maguindanao Sultanlığı
country.name.MGL,Oyrat Moğol Konfederasyonu
country.name.MID,Middag Krallığı
country.name.MIL,Milano Dükalığı
country.name.MLC,Malaka Sultanlığı
country.name.MLD,Maldivler Sultanlığı
country.name.MLW,Malva Sultanlığı
country.name.MOG,Babüristan (Doğu Çağatay)
country.name.MOL,Boğdan Prensliği
country.name.MOR,Merinli Fas
country.name.MOS,Mossi Krallıkları
country.name.MRC,Muromachi Şogunluğu
country.name.MUI,Muiska Konfederasyonu
country.name.MVY,Moskova Knezliği
country.name.MYN,Ming Hanedanlığı
country.name.NAP,Napoli Krallığı
country.name.NAV,Navarra Krallığı
country.name.NBH,Nebhani Umman Krallığı
country.name.NEP,Malla Nepal Krallığı
country.name.NVD,Novgorod Cumhuriyeti
country.name.ORI,Gajapati Orissa Krallığı
country.name.OTT,Osmanlı İmparatorluğu
country.name.OYO,Oyo İmparatorluğu
country.name.PAL,Palatina Seçmen Prensliği
country.name.PAP,Papalık Devletleri
country.name.PEG,Hanthawaddy Pegu Krallığı
country.name.POL,Polonya Krallığı
country.name.PRT,Portekiz Krallığı
country.name.PSI,Samudra-Pasai Sultanlığı
country.name.PSK,Pskov Cumhuriyeti
country.name.PUE,Pueblo Halkları
country.name.RAM,Ramazanoğulları
country.name.RYA,Ryazan Knezliği
country.name.RYU,Ryukyu Krallığı
country.name.SAV,Savoy Dükalığı
country.name.SAX,Saksonya Seçmen Prensliği
country.name.SCT,İskoçya Krallığı
country.name.SHV,Şirvanşahlar
country.name.SIB,Sibir Hanlığı
country.name.SND,Samma Sind Sultanlığı
country.name.SON,Songay İmparatorluğu
country.name.SRB,Sırp Despotluğu
country.name.STE,Büyük Orda
country.name.SUL,Sulu Sultanlığı
country.name.SWD,İsveç Krallığı
country.name.TAH,Tahiri Yemen Sultanlığı
country.name.TAI,Taino Şeflikleri
country.name.TAR,Taraskan Devleti (Purepeçalar)
country.name.TEU,Töton Şövalyeleri
country.name.TIB,Tibet
country.name.TIM,Timurlu İmparatorluğu
country.name.TLX,Tlaxcala Konfederasyonu
country.name.TND,Tondo Krallığı
country.name.TRE,Trabzon İmparatorluğu
country.name.TVR,Tver Knezliği
country.name.UZB,Özbek Hanlığı
country.name.VIJ,Vijayanagara İmparatorluğu
country.name.VNC,Venedik Cumhuriyeti
country.name.WAL,Eflak Prensliği
country.name.WUR,Württemberg Kontluğu
country.name.ZAP,Zapotek Krallığı
country.name.ZAY,Zeyyani Tilimsan Krallığı
country.name.ZIM,Zimbabwe Krallığı
mod.owo.popup.startup.body_no_date,Avrupa ve Asya eski feodal düzenler ile yükselen merkezi devletler arasında sıkışmış durumda.\nAkdeniz Karadeniz Hint Okyanusu ve İpek Yolu üzerindeki ticaret hatları gücün atardamarlarını oluşturuyor.\nBarutlu ordular yükseliyor ancak süvari birlikleri levazım düzeni ve kaleler hala savaşların kaderini belirliyor.\n\nDöneme uygun hükümdarlar sınırlar ve askeri düzenlerle tanımlanan 120'den fazla tarihsel siyasi oluşumdan birini yönetiyorsun.\nBu bilgilendirmeyi istediğin zaman tekrar açmak için araç çubuğundaki taç düğmesini kullan.
mod.owo.popup.startup.body_with_date,Tarih: {0}-{1}\n\nAvrupa ve Asya eski feodal düzenler ile yükselen merkezi devletler arasında sıkışmış durumda.\nAkdeniz Karadeniz Hint Okyanusu ve İpek Yolu üzerindeki ticaret hatları gücün atardamarlarını oluşturuyor.\nBarutlu ordular yükseliyor ancak süvari birlikleri levazım düzeni ve kaleler hala savaşların kaderini belirliyor.\n\nDöneme uygun hükümdarlar sınırlar ve askeri düzenlerle tanımlanan 120'den fazla tarihsel siyasi oluşumdan birini yönetiyorsun.\nBu bilgilendirmeyi istediğin zaman tekrar açmak için araç çubuğundaki taç düğmesini kullan.
mod.owo.popup.startup.title,Eski Dünya Düzeni 1450
mod.ui.toolbar.welcome_tooltip,Stratejik Bilgilendirmeyi Aç
ui.button.ok,TAMAM
doctrine.military.t1.professional_armed_forces,Plaka Zırh ve Yüksek Fırınlar
doctrine.military.t1.professional_armed_forces.desc,Yüksek fırınlardaki hidrolik körükler, eklemli plaka zırhlar için üstün sertleştirilmiş çelik üretir.
doctrine.military.t2.precision_warfare,Kundaklı Yay ve Pavise Düzenleri
doctrine.military.t2.precision_warfare.desc,Süvari hücumlarına karşı koyan, yüksek pavise kalkanlarıyla korunan disiplinli kundaklı yay birlikleri.
doctrine.military.t3.heavy_firepower,Şahi Top Dökümü ve Kuşatma Barutu
doctrine.military.t3.heavy_firepower.desc,Ortaçağ kale surlarını yerle bir edebilen devasa dökme tunç şahi toplar ve taneli barut formülleri.
doctrine.economy.t1.fiscal_discipline,Çift Taraflı Muhasebe ve Tüccar Bankacılığı
doctrine.economy.t1.fiscal_discipline.desc,Ticarette devrim yaratan Venedik ve Floransa usulü çift taraflı defterler, poliçeler ve tüccar mevduat bankaları.
doctrine.economy.t3.commercial_economy,Karavela Gövdesi ve Latin Yelken Donanımı
doctrine.economy.t3.commercial_economy.desc,Gemilerin ters rüzgarlara karşı seyredebilmesini sağlayan kıvrak sığ su gövdeleri ve üçgen latin yelkenler.
owo.doctrine.military.t1,Levy ve Maiyet
owo.doctrine.military.t1.question,Ordularını nasıl topluyorsun?
owo.doctrine.military.t1.feudal_levies,Feodal Levyeler
owo.doctrine.military.t1.feudal_levies.desc,Vasallar köylüleri ve silahlı adamlarıyla çağrıya uyar: ucuz, bol ama toplanması yavaş.
owo.doctrine.military.t2,Muharebe Taktikleri
owo.doctrine.military.t2.question,Savaşları hangi taktiklerle kazanıyorsun?
owo.doctrine.military.t2.heavy_cavalry_charge,Ağır Süvari Hücumu
owo.doctrine.military.t2.heavy_cavalry_charge.desc,Zırhlı şövalyeler ve sipahiler düşman hattını tek bir gürleyen hücumla yarar; bedeli at ve zırhla ağır ödenir.
owo.doctrine.military.t3,Kuşatma Sanatı
owo.doctrine.military.t3.question,Surları nasıl yıkıyor ya da savunuyorsun?
owo.doctrine.military.t3.bastion_fortifications,Tabya Tahkimatı
owo.doctrine.military.t3.bastion_fortifications.desc,Alçak, kalın ve açılı tabyalar top ateşine dayanır ve her sınır kalesini kuşatanlar için bir tuzağa çevirir.
owo.doctrine.military.t4,İkmal ve Sefer
owo.doctrine.military.t4.question,Orduları sahada nasıl ayakta tutuyorsun?
owo.doctrine.military.t4.baggage_trains,Ağırlık Kolları ve Menziller
owo.doctrine.military.t4.baggage_trains.desc,Araba kolları, nehir mavnaları ve tahkimli menzil hanları uzun seferlerde orduyu besler.
owo.doctrine.military.t4.living_off_the_land,Yerel Tedarik
owo.doctrine.military.t4.living_off_the_land.desc,Ordular yürürken yem toplar ve el koyar: beslemesi ucuzdur, geçtiği vilayetler içinse acıdır.
owo.doctrine.military.t5,Daimi Ordular
owo.doctrine.military.t5.question,Diyarının ordusu neye dönüşecek?
owo.doctrine.military.t5.permanent_standing_army,Daimi Ordu
owo.doctrine.military.t5.permanent_standing_army.desc,Taç sancağı altındaki maaşlı bölükler barışta da savaşta da silah altında kalır.
owo.doctrine.military.t5.condottieri_contracts,Kondottiyeri Sözleşmeleri
owo.doctrine.military.t5.condottieri_contracts.desc,Paralı asker kaptanları bütün bölükleri sözleşmeyle satar; altın nerede iyiyse oraya yürümeye hazırdır.
owo.doctrine.military.milestone,Askeri Devrim
owo.doctrine.military.milestone.desc,Barut, talim ve daimi bölükler diyarının savaşma biçimini yeniden şekillendirdi.
owo.doctrine.economy.t1,Kraliyet Maliyesi
owo.doctrine.economy.t1.question,Taç hazinesini nasıl dolduruyor?
owo.doctrine.economy.t1.tax_farming,İltizam
owo.doctrine.economy.t1.tax_farming.desc,Mültezimler vergi toplama hakkını peşin satın alır: taca hızlı gelir, köylüye zor günler.
owo.doctrine.economy.t2,Loncalar ve Pazarlar
owo.doctrine.economy.t2.question,Kasabalarında ticareti kim yönetiyor?
owo.doctrine.economy.t2.chartered_craft_guilds,Beratlı Esnaf Loncaları
owo.doctrine.economy.t2.chartered_craft_guilds.desc,Kraliyet beratları loncalara her atölyede kalite, fiyat ve çıraklar üzerinde söz hakkı verir.
owo.doctrine.economy.t2.free_fairs,Serbest Panayırlar ve Pazar Kasabaları
owo.doctrine.economy.t2.free_fairs.desc,Gümrüksüz mevsimlik panayırlar uzak diyarlardan tüccarları pazar kasabalarına çeker.
owo.doctrine.economy.t3,Uzak Ticaret
owo.doctrine.economy.t3.question,Servetin hangi yollardan geçiyor?
owo.doctrine.economy.t3.caravanserai_network,Kervansaray Ağı
owo.doctrine.economy.t3.caravanserai_network.desc,Birer günlük mesafedeki tahkimli hanlar ipek ve baharat kervanlarının karadan güvenle ilerlemesini sağlar.
owo.doctrine.economy.t4,Ambarlar ve Sikke
owo.doctrine.economy.t4.question,Kıtlığa ve sikke tağşişine nasıl dayanıyorsun?
owo.doctrine.economy.t4.royal_granaries,Kraliyet Ambarları
owo.doctrine.economy.t4.royal_granaries.desc,Taç ambarları bereketli yıllarda tahıl alır, kıt yıllarda kapılarını açar.
owo.doctrine.economy.t4.sound_coinage,Sağlam Sikke
owo.doctrine.economy.t4.sound_coinage.desc,Güvenilir darphane sikkeyi kırpmayı ve tağşişi reddeder; borç verenler tacın itibarını ödüllendirir.
owo.doctrine.economy.t5,Ticari Güç
owo.doctrine.economy.t5.question,Nasıl bir ekonomik güç olacaksın?
owo.doctrine.economy.t5.trading_post_empire,Ticaret Karakolları İmparatorluğu
owo.doctrine.economy.t5.trading_post_empire.desc,Uzak kıyılardaki tahkimli ticaret karakolları baharatı, altını ve şekeri kraliyet hazinesine akıtır.
owo.doctrine.economy.t5.agrarian_crown_estates,Kraliyet Çiftlikleri
owo.doctrine.economy.t5.agrarian_crown_estates.desc,Kurutulan bataklıklar, yeni köyler ve taç çiftlikleri diyarın servetini topraktan devşirir.
owo.doctrine.economy.milestone,Ticaret Devrimi
owo.doctrine.economy.milestone.desc,Bankacılık, poliçeler ve uzak ticaret diyarının servetini onun için çalıştırır hale getirdi.
owo.goal.basic_fill_the_treasury,Kraliyet Hazinesini Doldur
owo.goal.basic_fill_the_treasury.desc,Parası olmayan bir diyar ne ordu kurabilir ne de barışı koruyabilir. Korumaya değer bir birikim yap.
owo.task.basic_fill_the_treasury.treasury,Hazinede 500 fl. biriktir
owo.goal.basic_first_alliance,Güvenilir Bir Müttefik Ara
owo.goal.basic_first_alliance.desc,Hiçbir taç uzun süre tek başına ayakta kalamaz. Bir komşunun dostluğunu kazan.
owo.task.basic_first_alliance.relations,Başka bir diyarla iyi ilişkiler kur
owo.goal.ott_heir_of_rome,Roma'nın Vârisi
owo.goal.ott_heir_of_rome.desc,Konstantinopolis'i al ve Kayser-i Rûm unvanını sahiplen.
owo.task.ott_heir_of_rome.war,Bizans İmparatorluğu'na savaş ilan et
owo.task.ott_heir_of_rome.army,20.000 asker topla
owo.goal.ott_anatolian_unity,Anadolu Birliği
owo.goal.ott_anatolian_unity.desc,Karaman'ı ve diğer beylikleri Sultan'ın otoritesi altına al.
owo.task.ott_anatolian_unity.karaman,Karamanoğulları'na savaş ilan et
owo.task.ott_anatolian_unity.candar,Candaroğulları ile iyi ilişkiler kur
owo.goal.fra_end_hundred_years_war,Yüz Yıl Savaşları'nı Bitir
owo.goal.fra_end_hundred_years_war.desc,İngiliz tacını Normandiya ve Guyenne'den kesin olarak çıkar.
owo.task.fra_end_hundred_years_war.war,İngiltere'ye savaş ilan et
owo.task.fra_end_hundred_years_war.army,15.000 asker topla
owo.goal.fra_contain_burgundy,Burgonya'yı Dizginle
owo.goal.fra_contain_burgundy.desc,Batı'nın Büyük Dükleri'nin Fransa'nın sınır topraklarından bir krallık oyup çıkarmasını engelle.
owo.task.fra_contain_burgundy.scotland,İskoçya ile Eski İttifak'ı yenile
owo.goal.cas_reconquista,Reconquista'yı Tamamla
owo.goal.cas_reconquista.desc,İber Yarımadası'ndaki son Müslüman devlet olan Gırnata Emirliği'ni düşür.
owo.task.cas_reconquista.war,Gırnata'ya savaş ilan et
owo.goal.cas_union_with_aragon,Tacların Birliği
owo.goal.cas_union_with_aragon.desc,Kastilya ile Aragon'u tek bir İspanyol monarşisinde birleştir.
owo.task.cas_union_with_aragon.alliance,Aragon Tacı ile ittifak kur
owo.goal.ott_danubian_frontier,Tuna Serhaddini Tahkim Et
owo.goal.ott_danubian_frontier.desc,Macar ve haçlı karşı taarruzlarına karşı Tuna nehri boyunca kale hattını emniyete al.
owo.task.ott_danubian_frontier.army,25.000 asker topla
owo.task.ott_danubian_frontier.treasury,Hazinede 800 fl. bulundur
owo.goal.fra_compagnies_ordonnance,Compagnies d'Ordonnance
owo.goal.fra_compagnies_ordonnance.desc,Daimi bir kraliyet vergisiyle finanse edilen Fransa'nın ilk profesyonel daimi ordusunu kur.
owo.task.fra_compagnies_ordonnance.standing_army,15.000 profesyonel asker topla
owo.task.fra_compagnies_ordonnance.treasury,Kraliyet hazinesinde 600 fl. bulundur
owo.goal.eng_fortress_calais,Calais Kalesi ve Dar Denizler
owo.goal.eng_fortress_calais.desc,Calais Bölgesi tahkimatlarını güçlendir ve Manş Denizi üzerindeki deniz hakimiyetini koru.
owo.task.eng_fortress_calais.fleet,10 savaş gemisinden oluşan bir filo topla
owo.task.eng_fortress_calais.treasury,Maliyede 600 fl. bulundur
owo.goal.eng_scottish_border,Kuzey Serhatlerini Koru
owo.goal.eng_scottish_border.desc,İskoç Sınır Bölgelerini emniyete al ve kuzeyden gelebilecek Auld Alliance istilası tehdidini etkisiz hale getir.
owo.task.eng_scottish_border.scotland,Diplomasi yoluyla İskoçya'yı yatıştır
owo.goal.eng_royal_solvency,Kraliyet Maliyesini İhya Et
owo.goal.eng_royal_solvency.desc,Maliyeyi yeniden düzenle, savaş borçlarını yönet ve parlamentonun Taca olan güvenini tazele.
owo.task.eng_royal_solvency.treasury,Kraliyet hazinesinde 1.200 fl. biriktir
owo.goal.cas_western_seas,Okyanus Denizini Haritalandır
owo.goal.cas_western_seas.desc,Atlantik üzerinden batıya giden bir deniz yolu aramaları için cesur denizcilere sponsor ol.
owo.task.cas_western_seas.fleet,10 gemilik bir deniz keşif filosu inşa et
owo.task.cas_western_seas.treasury,Keşifleri hazinedeki 1.000 fl. ile finanse et
owo.goal.prt_chart_african_coast,Afrika Kıyılarını Haritalandır
owo.goal.prt_chart_african_coast.desc,Afrika kıtasının güney ucunu haritalamak için karavelaları Gine'nin güneyine doğru sür.
owo.task.prt_chart_african_coast.navigation_tech,2 doktrin kademesi araştırarak seyrüsefer bilgisini geliştir
owo.task.prt_chart_african_coast.caravels,8 gemilik bir karavela filosu topla
owo.goal.prt_spice_monopoly,Deniz Baharat Tekeli
owo.goal.prt_spice_monopoly.desc,Münhasır deniz baharat ticaretini güvenceye almak için Hint Okyanusu boyunca silahlı feitorialar kur.
owo.task.prt_spice_monopoly.fleet,15 gemilik bir ticaret filosu topla
owo.task.prt_spice_monopoly.treasury,Ticari rezervlerde 2.000 fl. biriktir
owo.goal.myn_tumu_crisis_recovery,Tumu Krizini Aş
owo.goal.myn_tumu_crisis_recovery.desc,Bakan Yu Qian önderliğinde imparatorluk sarayını toparla, Pekin'i tahkim et ve Oyrat Moğol istilacılarını püskürt.
owo.task.myn_tumu_crisis_recovery.army,50.000 imparatorluk askerini seferber et
owo.task.myn_tumu_crisis_recovery.treasury,İmparatorluk hazinesinde 1.000 fl. bulundur
owo.goal.myn_rebuild_great_wall,Ming Sınırının Taş Duvarları
owo.goal.myn_rebuild_great_wall.desc,Kalıcı barışı sağlamak için kuzey sınır geçitleri boyunca kesintisiz taş ve tuğla gözetleme kuleleri inşa et.
owo.task.myn_rebuild_great_wall.frontier_army,Kuzey serhatlerini 30.000 askerle garnizonla
owo.task.myn_rebuild_great_wall.treasury,Sınır savunmalarına 2.500 fl. tahsis et
owo.goal.myn_grand_canal,Büyük Kanal'ı Temizle
owo.goal.myn_grand_canal.desc,Yangtze'den başkente kesintisiz tahıl sevkiyatını garanti etmek için 1.700 kilometrelik Büyük Kanal'ı yeniden inşa et ve tara.
owo.task.myn_grand_canal.treasury,Büyük Kanal restorasyonuna 2.000 fl. yatırım yap
owo.doctrine.government.t1,Feodal Yeminler ve Kâhyalar
owo.doctrine.government.t1.question,Otorite diyar genelinde nasıl icra ediliyor?
owo.doctrine.government.t1.feudal_oaths,Feodal Yeminler ve Vasallık
owo.doctrine.government.t1.feudal_oaths.desc,Kişisel sadakat ve vasallık sözleşmeleri, diyarın askeri ve sivil düzeninin temel taşını oluşturur.
owo.doctrine.government.t1.centralized_bailiffs,Kraliyet Kâhyaları ve Şerifler
owo.doctrine.government.t1.centralized_bailiffs.desc,Doğrudan kraliyet görevlileri, hükümdarın sulhunu sağlar ve vilayetlerden kraliyet vergilerini toplar.
owo.doctrine.government.t2,Konseyler ve Meclisler
owo.doctrine.government.t2.question,Hukuk ve vergilendirme konusunda Taca kim danışmanlık ediyor?
owo.doctrine.government.t2.privy_council,Lordlar Özel Meclisi
owo.doctrine.government.t2.privy_council.desc,Güvenilir soylular ve ruhbanlardan oluşan seçkin bir konsey, devlet idaresini hız ve ihtiyatla yönlendirir.
owo.doctrine.government.t2.chartered_parliaments,Zümreler ve Parlamentolar
owo.doctrine.government.t2.chartered_parliaments.desc,Soylu, ruhban ve kentlilerden oluşan düzenli danışma meclisleri, vergileri müzakere eder ve şikayetleri dinler.
owo.doctrine.government.t3,Yazılı Adalet ve Kayıtlar
owo.doctrine.government.t3.question,Anlaşmazlıklar nasıl çözülüyor ve fermanlar nasıl kaydediliyor?
owo.doctrine.government.t3.codified_customary_law,Yazılı Örfi Hukuk
owo.doctrine.government.t3.codified_customary_law.desc,Yerel geleneklerin ve kraliyet fermanlarının kanunnamelere işlenmesi keyfi adaletsizlikleri azaltır.
owo.doctrine.government.t3.chancery_clerks,Kraliyet Divan Kâtipliği
owo.doctrine.government.t3.chancery_clerks.desc,Özel bir idari bürokrasi; beratları, fermanları ve vergi kayıtlarını mesleki titizlikle hazırlar.
owo.doctrine.government.t4,Hükümdar Fermanları
owo.doctrine.government.t4.question,Kraliyet fermanlarının yetkisi nereye kadar uzanır?
owo.doctrine.government.t4.royal_ordinances,Kraliyet Fermanları ve Emirnameleri
owo.doctrine.government.t4.royal_ordinances.desc,Bağlayıcı egemen fermanlar bölgesel feodal adetlerin yerini alarak yeknesak kraliyet içtihadı oluşturur.
owo.doctrine.government.t4.provincial_intendants,Taşra İdarecileri
owo.doctrine.government.t4.provincial_intendants.desc,Kraliyet komiserleri, kendilerine devredilen tam yetkiyle yerel mahkemeleri, vergi tahsilatını ve kamu düzenini denetler.
owo.doctrine.government.t5,Egemen Devlet Düzeni
owo.doctrine.government.t5.question,Kraliyet otoritesinin nihai kaynağı nedir?
owo.doctrine.government.t5.divine_right_monarchy,İlahi Hak Monarşisi
owo.doctrine.government.t5.divine_right_monarchy.desc,Tacın meşruiyeti doğrudan ilahi takdirden gelir ve hükümdarı tüm fani kliklerin üzerine çıkarır.
owo.doctrine.government.t5.bureaucratic_centralism,Bürokratik Merkeziyetçilik
owo.doctrine.government.t5.bureaucratic_centralism.desc,Daimi bir bakanlık bürokrasisi, kraliyet politikasını başkentten tüm taht topraklarına doğrudan uygular.
owo.doctrine.government.milestone,Merkezi Monarşi
owo.doctrine.government.milestone.desc,Dağınık feodal iddialardan, köklü ve kurumsal bir kraliyet yönetimi dövüldü.
owo.doctrine.society.t1,Tarımsal Ortak Alanlar
